RegionId,ZipCode,State,City,County,Latitude,Longitude,Latest_ZHVI
58319,1258,MA,Mount Washington,Berkshire County,42.10928,-73.462886,643708.2397
58320,1259,MA,New Marlborough,Berkshire County,42.075469,-73.234376,527313.6791
58322,1262,MA,Stockbridge,Berkshire County,42.292202,-73.319209,710112.8154
58324,1264,MA,Tyringham,Berkshire County,42.23159,-73.202428,643916.2786
58325,1266,MA,West Stockbridge,Berkshire County,42.312354,-73.388044,630414.1294
58326,1267,MA,Williamstown,Berkshire County,42.671617,-73.246981,468299.2938
58327,1270,MA,Windsor,Berkshire County,42.515272,-73.031166,341921.6577
58328,1301,MA,Greenfield,Franklin County,42.626761,-72.60153,304050.9152
58330,1330,MA,Ashfield,Franklin County,42.513947,-72.821517,384232.009
58331,1331,MA,Athol,Worcester County,42.562408,-72.19108,301737.2037
58332,1337,MA,Bernardston,Franklin County,42.689307,-72.582249,352811.0658
58333,1338,MA,Buckland,Franklin County,42.572604,-72.824306,340302.5625
58334,1339,MA,Hawley,Franklin County,42.603776,-72.889644,314225.014
58335,1340,MA,Colrain,Franklin County,42.694731,-72.710956,296239.7659
58336,1341,MA,Conway,Franklin County,42.496937,-72.709414,430183.5938
58337,1342,MA,Deerfield,Franklin County,42.543889,-72.609458,419021.5609
58339,1344,MA,Erving,Franklin County,42.613418,-72.426427,287974.7865
58340,1346,MA,Heath,Franklin County,42.693275,-72.823113,282464.2886
58342,1349,MA,,Franklin County,42.563061,-72.482122,291349.1849
58344,1351,MA,Montague,Franklin County,42.53988,-72.521689,362131.2175
58345,1354,MA,Gill,Franklin County,42.624076,-72.508643,335299.3486
58346,1355,MA,New Salem,Franklin County,42.458551,-72.327191,357603.4927
58347,1360,MA,Northfield,Franklin County,42.677091,-72.453876,337221.931
58348,1364,MA,Orange,Franklin County,42.605437,-72.292074,281894.9638
58349,1366,MA,Petersham,Worcester County,42.475621,-72.192468,441357.6541
58350,1367,MA,Rowe,Franklin County,42.695532,-72.909148,308559.2055
58351,1368,MA,Royalston,Worcester County,42.679456,-72.176935,343313.0329
58352,1370,MA,Shelburne,Franklin County,42.593338,-72.726941,370738.4719
58353,1373,MA,South Deerfield,Franklin County,42.475481,-72.615403,426742.2178
58354,1375,MA,Sunderland,Franklin County,42.466691,-72.546751,434357.9082
58355,1376,MA,Turners Falls,Franklin County,42.59528,-72.555002,290406.7917
58356,1378,MA,Warwick,Franklin County,42.673533,-72.353213,298006.6427
58357,1379,MA,Wendell,Franklin County,42.55631,-72.407148,301017.477
58359,1420,MA,Fitchburg,Worcester County,42.584925,-71.816862,362076.8018
58360,1430,MA,Ashburnham,Worcester County,42.657005,-71.923442,415403.0172
58361,1431,MA,Ashby,Middlesex County,42.676293,-71.832523,437214.0462
58362,1432,MA,Ayer,Middlesex County,42.566573,-71.575135,532486.5055
58363,1434,MA,Devens,Worcester County,42.538903,-71.612027,669470.8436
58364,1436,MA,Baldwinville,Worcester County,42.602059,-72.087015,354776.3133
58366,1440,MA,Gardner,Worcester County,42.584206,-71.988737,340791.1739
58368,1450,MA,Groton,Middlesex County,42.61176,-71.565269,745080.7555
58369,1451,MA,Harvard,Worcester County,42.501908,-71.568201,943015.7142
58370,1452,MA,Hubbardston,Worcester County,42.489598,-72.002878,433065.9796
58371,1453,MA,Leominster,Worcester County,42.519977,-71.763202,443327.5574
58372,1460,MA,Littleton,Middlesex County,42.535931,-71.490569,732054.1313
58373,1462,MA,Lunenburg,Worcester County,42.582607,-71.720464,505374.1993
58374,1463,MA,Pepperell,Middlesex County,42.670643,-71.602858,546083.8427
58375,1464,MA,Shirley,Middlesex County,42.573654,-71.640986,517553.5929
58377,1468,MA,Templeton,Worcester County,42.542767,-72.068345,380359.7847
58378,1469,MA,Townsend,Middlesex County,42.664828,-71.695087,460350.6492
58382,1473,MA,Westminster,Worcester County,42.5546,-71.90544,482476.312
58383,1474,MA,Townsend,Middlesex County,42.669685,-71.752751,476228.3699
58384,1475,MA,Winchendon,Worcester County,42.66816,-72.055644,351242.6537
58386,1501,MA,Auburn,Worcester County,42.198708,-71.846006,429068.5487
58387,1503,MA,Berlin,Worcester County,42.384929,-71.633889,634127.3307
58388,1504,MA,Blackstone,Worcester County,42.039991,-71.532406,465472.4462
58389,1505,MA,Boylston,Worcester County,42.355049,-71.716157,613040.1222
58390,1506,MA,Brookfield,Worcester County,42.180788,-72.107891,379478.9387
58391,1507,MA,Charlton,Worcester County,42.133935,-71.968025,462564.931
58394,1510,MA,Clinton,Worcester County,42.411887,-71.690005,419129.7773
58395,1515,MA,East Brookfield,Worcester County,42.209682,-72.040178,393902.1797
58396,1516,MA,Douglas,Worcester County,42.053072,-71.752241,499702.3291
58398,1518,MA,Sturbridge,Worcester County,42.127477,-72.118818,501548.6374
58399,1519,MA,Grafton,Worcester County,42.203404,-71.679739,651650.4599
58400,1520,MA,Holden,Worcester County,42.336372,-71.850626,509594.2121
58401,1521,MA,Holland,Hampden County,42.046799,-72.180144,345797.9587
58402,1522,MA,Holden,Worcester County,42.375634,-71.867382,504783.8349
58403,1523,MA,Lancaster,Worcester County,42.483569,-71.675585,544237.9928
58404,1524,MA,Leicester,Worcester County,42.249603,-71.919217,419169.4204
58407,1527,MA,Millbury,Worcester County,42.192246,-71.777649,461779.8587
58408,1529,MA,Millville,Worcester County,42.036642,-71.578779,473462.146
58409,1531,MA,New Braintree,Worcester County,42.319125,-72.130814,437289.5567
58410,1532,MA,Northborough,Worcester County,42.323342,-71.646236,654688.2544
58411,1534,MA,Northbridge,Worcester County,42.142074,-71.643348,532707.9476
58412,1535,MA,North Brookfield,Worcester County,42.267564,-72.066876,359975.9933
58413,1536,MA,Grafton,Worcester County,42.231309,-71.692642,538786.3574
58414,1537,MA,Oxford,Worcester County,42.158966,-71.897051,401097.669
58416,1540,MA,Oxford,Worcester County,42.116263,-71.857465,392197.5558
58417,1541,MA,Princeton,Worcester County,42.454125,-71.87754,573639.5439
58418,1542,MA,Leicester,Worcester County,42.204251,-71.908907,423624.5277
58419,1543,MA,Rutland,Worcester County,42.388285,-71.969865,503732.8726
58420,1545,MA,Shrewsbury,Worcester County,42.284767,-71.714228,663107.4299
